YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2023,AUG,13,Sunday,PSA Airlines,CLT,"Charlotte, NC",ORF,"Norfolk, VA",0,0
2023,FEB,13,Monday,Alaska Airlines,PDX,"Portland, OR",LAS,"Las Vegas, NV",0,1
2023,FEB,16,Thursday,United Air Lines,IAH,"Houston, TX",SAT,"San Antonio, TX",0,0
2023,FEB,27,Monday,SkyWest Airlines,HPN,"White Plains, NY",ATL,"Atlanta, GA",1,1
2023,MAR,4,Saturday,American Airlines,MIA,"Miami, FL",ORD,"Chicago, IL",0,0
2023,JUN,22,Thursday,American Airlines,BWI,"Baltimore, MD",CLT,"Charlotte, NC",1,1
2023,JAN,31,Tuesday,SkyWest Airlines,CMH,"Columbus, OH",ORD,"Chicago, IL",0,0
2023,APR,6,Thursday,United Air Lines,LAX,"Los Angeles, CA",BOS,"Boston, MA",1,0
2023,AUG,31,Thursday,United Air Lines,SAN,"San Diego, CA",SFO,"San Francisco, CA",0,0
2023,APR,26,Wednesday,American Airlines,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",1,1
2023,MAR,21,Tuesday,American Airlines,CLT,"Charlotte, NC",GSO,"Greensboro/High Point, NC",0,0
2022,NOV,23,Wednesday,Southwest Airlines,TUL,"Tulsa, OK",DAL,"Dallas, TX",0,0
2022,OCT,19,Wednesday,Alaska Airlines,SFO,"San Francisco, CA",DCA,"Washington, DC",0,0
2023,MAR,16,Thursday,SkyWest Airlines,LFT,"Lafayette, LA",ATL,"Atlanta, GA",0,0
2023,AUG,30,Wednesday,American Airlines,ORD,"Chicago, IL",MCO,"Orlando, FL",1,1
2023,APR,7,Friday,Envoy Air,AUS,"Austin, TX",MIA,"Miami, FL",1,1
2022,AUG,10,Wednesday,SkyWest Airlines,DEN,"Denver, CO",IDA,"Idaho Falls, ID",0,0
2023,MAR,26,Sunday,Allegiant Air,BLI,"Bellingham, WA",LAX,"Los Angeles, CA",0,0
2022,SEP,11,Sunday,Envoy Air,ORD,"Chicago, IL",DTW,"Detroit, MI",1,1
2023,AUG,3,Thursday,Alaska Airlines,JNU,"Juneau, AK",SEA,"Seattle, WA",0,0
2023,APR,17,Monday,Southwest Airlines,HNL,"Honolulu, HI",LAS,"Las Vegas, NV",0,0
2022,NOV,8,Tuesday,American Airlines,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",0,0
2023,MAY,15,Monday,Delta Air Lines,BZN,"Bozeman, MT",MSP,"Minneapolis, MN",0,0
2023,APR,29,Saturday,Delta Air Lines,LAX,"Los Angeles, CA",JFK,"New York, NY",0,0
2023,AUG,6,Sunday,Frontier Airlines,DEN,"Denver, CO",CLT,"Charlotte, NC",0,0
2023,JUN,24,Saturday,SkyWest Airlines,SLC,"Salt Lake City, UT",BZN,"Bozeman, MT",1,0
2023,AUG,19,Saturday,American Airlines,SJC,"San Jose, CA",DFW,"Dallas/Fort Worth, TX",0,0
2023,JUL,31,Monday,Delta Air Lines,IND,"Indianapolis, IN",LAX,"Los Angeles, CA",0,0
2023,JUN,24,Saturday,Delta Air Lines,LAS,"Las Vegas, NV",DTW,"Detroit, MI",0,0
2022,OCT,13,Thursday,Delta Air Lines,MSP,"Minneapolis, MN",DCA,"Washington, DC",1,0
2023,AUG,10,Thursday,Frontier Airlines,PBI,"West Palm Beach/Palm Beach, FL",PHL,"Philadelphia, PA",1,1
2022,AUG,14,Sunday,SkyWest Airlines,RNO,"Reno, NV",SFO,"San Francisco, CA",0,0
2023,APR,30,Sunday,SkyWest Airlines,ORD,"Chicago, IL",AVL,"Asheville, NC",0,0
2023,AUG,6,Sunday,Delta Air Lines,MCO,"Orlando, FL",MSP,"Minneapolis, MN",0,0
2023,MAR,5,Sunday,Southwest Airlines,LGB,"Long Beach, CA",LAS,"Las Vegas, NV",1,1
2023,JUN,18,Sunday,SkyWest Airlines,MKE,"Milwaukee, WI",ORD,"Chicago, IL",0,0
2023,JAN,24,Tuesday,Alaska Airlines,SEA,"Seattle, WA",KOA,"Kona, HI",0,0
2022,AUG,6,Saturday,PSA Airlines,CAK,"Akron, OH",CLT,"Charlotte, NC",1,1
2022,OCT,9,Sunday,American Airlines,LGA,"New York, NY",ORD,"Chicago, IL",0,0
2022,AUG,10,Wednesday,Alaska Airlines,JNU,"Juneau, AK",SEA,"Seattle, WA",0,0
2023,APR,25,Tuesday,United Air Lines,ORD,"Chicago, IL",EWR,"Newark, NJ",0,0
2023,JAN,20,Friday,American Airlines,DCA,"Washington, DC",MIA,"Miami, FL",0,0
2022,NOV,21,Monday,Southwest Airlines,BWI,"Baltimore, MD",FLL,"Fort Lauderdale, FL",0,0
2023,JUL,7,Friday,American Airlines,PHL,"Philadelphia, PA",LAS,"Las Vegas, NV",0,1
2022,NOV,16,Wednesday,United Air Lines,MIA,"Miami, FL",EWR,"Newark, NJ",0,0
2023,MAY,5,Friday,American Airlines,LAS,"Las Vegas, NV",CLT,"Charlotte, NC",0,0
2022,OCT,18,Tuesday,PSA Airlines,DCA,"Washington, DC",BHM,"Birmingham, AL",0,0
2022,SEP,19,Monday,United Air Lines,LAX,"Los Angeles, CA",OGG,"Kahului, HI",0,0
2023,MAR,15,Wednesday,SkyWest Airlines,ESC,"Escanaba, MI",DTW,"Detroit, MI",0,0
2022,SEP,18,Sunday,Delta Air Lines,BOS,"Boston, MA",PBI,"West Palm Beach/Palm Beach, FL",0,0
2023,MAY,15,Monday,Southwest Airlines,MDW,"Chicago, IL",ATL,"Atlanta, GA",0,0
2023,FEB,27,Monday,JetBlue Airways,CLE,"Cleveland, OH",BOS,"Boston, MA",0,0
2022,NOV,6,Sunday,Southwest Airlines,BNA,"Nashville, TN",MDW,"Chicago, IL",1,1
2023,MAR,1,Wednesday,Southwest Airlines,BUF,"Buffalo, NY",TPA,"Tampa, FL",0,0
2022,OCT,22,Saturday,Republic Airline,JFK,"New York, NY",CLE,"Cleveland, OH",0,0
2023,MAR,27,Monday,Frontier Airlines,DEN,"Denver, CO",MCO,"Orlando, FL",1,1
2022,OCT,26,Wednesday,PSA Airlines,DAY,"Dayton, OH",DCA,"Washington, DC",0,0
2022,NOV,3,Thursday,Alaska Airlines,SEA,"Seattle, WA",SAN,"San Diego, CA",0,0
2023,JAN,26,Thursday,American Airlines,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",0,0
